Student_ID,Country,Subject,Success_Prob,Success_Label,Pass/Fail,Cluster,GPA,Attendance,Engagement
S100881,Kenya,Medicine,0.6628387835630225,Success,PASS,Strong Achievers,0.7611672387266716,-0.36997322877923716,-0.38782575769397737
S100816,India,Business,0.6518962546125316,Success,PASS,Strong Achievers,0.2941717694509718,-0.35034291793353667,-0.3753406424781192
S100069,Italy,Medicine,0.6460061376543687,Success,PASS,Strong Achievers,0.2288928328855515,0.18949063032322616,0.1490341965879227
S100427,Italy,Humanities,0.6449819269549634,Success,PASS,Strong Achievers,0.11339932973134649,0.23365882972605226,0.16151931180378082
S0063,Latvia,Computer Science,0.6395033903795111,Success,PASS,Moderate Performers,-1.5765730739296033,0.1406811069418849,0.28058119197277803
S0038,South Korea,Computer Science,0.6378131944287236,Success,PASS,Moderate Performers,-2.259989716539923,0.2954923059746613,0.3063380251199626
S0214,Latvia,Computer Science,0.6348457811150491,Success,PASS,Moderate Performers,-1.7266593324710802,0.48376055281412855,0.33492414799923836
S100071,Kenya,Information Systems,0.6229430964630482,Success,PASS,Strong Achievers,0.5050729491238682,-0.48284751614201493,-0.4960300895647477
S100331,Sri Lanka,Medicine,0.6200150968365036,Success,PASS,Strong Achievers,0.06318476314256134,0.04226329898047306,-0.02991912150604407
S100555,Pakistan,Business,0.6169966132239629,Success,PASS,Strong Achievers,0.9519825917640541,-0.6889657800218695,-0.6583365873709036
S101316,Germany,Business,0.6114156225070437,Success,PASS,Strong Achievers,0.2640430294977011,-0.3159898739535608,-0.2837831308951595
S101096,Ghana,Medicine,0.6087728715056205,Success,PASS,Strong Achievers,-0.02218000005837293,-0.03135036669090376,-0.009110596146280497
S100628,Germany,Information Systems,0.5921589484176558,Success,PASS,Strong Achievers,0.7561457820677927,-0.6153521143504926,-0.6208812417233291
S100259,Sri Lanka,Engineering,0.590041669759772,Success,PASS,Strong Achievers,0.5100944057827471,-0.39451111733636274,-0.3753406424781192
S101368,Sri Lanka,Information Systems,0.588127137253337,Success,PASS,Strong Achievers,0.28412885613321504,-0.4484944721620391,-0.47522156420498435
S100425,Kenya,Social Sciences,0.5853855638846754,Success,PASS,Strong Achievers,0.6306093655958305,-0.07061098838230474,-0.0923446975853348
S101189,India,Information Systems,0.571068087773787,Success,PASS,Strong Achievers,0.06318476314256134,-0.3110822962421357,-0.2879448359671122
S101013,Ghana,Computer Science,0.5511418039287873,Success,PASS,Strong Achievers,0.9971757016939604,-0.6595203137533188,-0.6708217025867618
S100261,Pakistan,Business,0.5424311558955974,Success,PASS,Strong Achievers,0.26906448615657946,-0.5760914926590918,-0.521000319996464
S101493,India,Business,0.5393778256871617,Success,PASS,Strong Achievers,0.27910739947433666,-0.45830962758488936,-0.5168386149245113
S100439,Bangladesh,Medicine,0.5364553400059386,Success,PASS,Strong Achievers,0.34438633603975694,-0.060795832959454496,-0.004948891074327781
S100298,Pakistan,Information Systems,0.5310690692480129,Success,PASS,Strong Achievers,0.007948739894898253,-0.2865444076850101,-0.2837831308951595
S101467,Brazil,Engineering,0.5291431075842875,Success,PASS,Strong Achievers,-0.5644973192172498,0.2680118737060281,0.21562147773916565
S0222,Latvia,Business,0.5247715819745866,Success,PASS,Moderate Performers,-1.6901629429489697,0.02512694225709683,0.2434339423772766
S100802,Ghana,Humanities,0.52039589470889,Success,PASS,Strong Achievers,0.6205664522780737,-0.7135036685789952,-0.7124387533062889
S100162,South Korea,Computer Science,0.5075195890301875,Success,PASS,Strong Achievers,0.37953653265190607,-0.15894738718795692,-0.18390220916829453
S101200,India,Business,0.5033107299455062,Success,PASS,Strong Achievers,0.03305602318929061,-0.28163682997358497,-0.2879448359671122
S0161,USA,Business,0.49162623118633714,Success,FAIL,Moderate Performers,-1.9225988622657473,0.04524798539995394,0.1535779577879116
S0270,South Korea,Medicine,0.48982945776195336,Success,FAIL,Moderate Performers,-2.1655123615368725,0.5297458304890356,0.37839772643871006
S0273,Ghana,Computer Science,0.48510403034837823,Success,FAIL,Moderate Performers,-1.825834315242181,0.4073973375928202,0.11869482350705747
