student_id,institution,country_host,week_index,semester_index,weekly_engagement,weekly_attendance,weekly_assignments_submitted,weekly_quiz_attempts
S0001,Latvia_Uni_A,Latvia,1,1,0.46292744743573067,0.6186212997126685,1,1
S0001,Latvia_Uni_A,Latvia,2,1,0.821431538861414,0.7322852856125459,0,1
S0001,Latvia_Uni_A,Latvia,3,1,0.44221633234662217,0.6636926084452581,2,1
S0001,Latvia_Uni_A,Latvia,4,1,0.48675892067704396,0.7317968747501982,1,1
S0001,Latvia_Uni_A,Latvia,5,1,0.5405295730633423,0.7810380873194469,1,0
S0001,Latvia_Uni_A,Latvia,6,1,0.5004151812502899,0.662751613865657,1,1
S0001,Latvia_Uni_A,Latvia,7,1,0.5555271698850941,0.5165579678883124,0,1
S0001,Latvia_Uni_A,Latvia,8,1,0.5841477105024435,0.7816368293839215,2,0
S0001,Latvia_Uni_A,Latvia,9,1,0.33331458039118084,0.8028266810030679,0,0
S0001,Latvia_Uni_A,Latvia,10,1,0.6558589365009628,0.603041189479018,2,0
S0001,Latvia_Uni_A,Latvia,11,1,0.6310485991875733,0.77242152981418,2,1
S0001,Latvia_Uni_A,Latvia,12,1,0.5247386233254593,0.6629612483779991,1,1
S0001,Latvia_Uni_A,Latvia,13,1,0.6916402605058607,0.6410349615972211,0,0
S0001,Latvia_Uni_A,Latvia,14,1,0.41727374278969626,0.6426862790661322,5,2
S0001,Latvia_Uni_A,Latvia,15,1,0.47717834956352945,0.7601745337019833,0,0
S0001,Latvia_Uni_A,Latvia,16,1,0.6671410095536254,0.6636667163420238,1,1
S0001,Latvia_Uni_A,Latvia,17,2,0.41683100094724357,0.6139482977775916,2,1
S0001,Latvia_Uni_A,Latvia,18,2,0.4951990220236105,0.6354173918479691,1,1
S0001,Latvia_Uni_A,Latvia,19,2,0.471520600329802,0.8891861946731144,0,0
S0001,Latvia_Uni_A,Latvia,20,2,0.4412096593631441,0.673016717657947,0,2
S0001,Latvia_Uni_A,Latvia,21,2,0.6014317128786812,0.7180552866932632,0,1
S0001,Latvia_Uni_A,Latvia,22,2,0.6329176118422614,0.7820945587737761,1,1
S0001,Latvia_Uni_A,Latvia,23,2,0.6690855695782942,0.7302209249881237,0,1
S0001,Latvia_Uni_A,Latvia,24,2,0.33681652948974616,0.6902212264881039,1,1
S0001,Latvia_Uni_A,Latvia,25,2,0.37030258005653033,0.6106558318040183,2,2
S0001,Latvia_Uni_A,Latvia,26,2,0.27139498698953146,0.6613253692778162,0,3
S0001,Latvia_Uni_A,Latvia,27,2,0.6202205928486173,0.5561473678196305,4,0
S0001,Latvia_Uni_A,Latvia,28,2,0.4914475674767438,0.7276021266822497,0,0
S0001,Latvia_Uni_A,Latvia,29,2,0.48527293657585535,0.5211764941886619,2,1
S0001,Latvia_Uni_A,Latvia,30,2,0.6033244446177672,0.5607937515894147,3,0
S0001,Latvia_Uni_A,Latvia,31,2,0.2999084483309232,0.56568390847526,0,1
S0001,Latvia_Uni_A,Latvia,32,2,0.4974958710564811,0.7255803083281882,2,1
S0002,Latvia_Uni_A,Latvia,1,1,0.5903493455188449,0.5609365314407286,4,1
S0002,Latvia_Uni_A,Latvia,2,1,0.41051619756484203,0.8317916010336464,2,0
S0002,Latvia_Uni_A,Latvia,3,1,0.6416395156151502,0.7152057480473717,0,1
S0002,Latvia_Uni_A,Latvia,4,1,0.42034373221513255,0.7673294872738892,0,0
S0002,Latvia_Uni_A,Latvia,5,1,0.32952929781189855,0.6515102816574945,0,1
S0002,Latvia_Uni_A,Latvia,6,1,0.6537292739907407,0.7536611027427045,0,0
S0002,Latvia_Uni_A,Latvia,7,1,0.37055058552953196,0.937607063975684,3,0
S0002,Latvia_Uni_A,Latvia,8,1,0.7442648533531208,0.632524821759599,1,0
S0002,Latvia_Uni_A,Latvia,9,1,0.6253472025302036,0.6215215604607622,0,0
S0002,Latvia_Uni_A,Latvia,10,1,0.7224114100276352,0.7304801714801497,2,2
S0002,Latvia_Uni_A,Latvia,11,1,0.32958792549371396,0.5660202916228481,0,0
S0002,Latvia_Uni_A,Latvia,12,1,0.7443010980848783,0.6749642721157709,0,1
S0002,Latvia_Uni_A,Latvia,13,1,0.7476958840113332,0.6734466530971218,1,1
S0002,Latvia_Uni_A,Latvia,14,1,0.37332122051887484,0.8428307971430493,2,0
S0002,Latvia_Uni_A,Latvia,15,1,0.35075174421312405,0.7186094377937848,0,2
