student_id,institution,week_index,semester_index,weekly_engagement,weekly_attendance,weekly_assignments_submitted,weekly_quiz_attempts
S100000,Latvia_Uni_A,1,1,0.9265531056083001,1.0,5,1
S100000,Latvia_Uni_A,2,1,0.8966574750146006,1.0,3,1
S100000,Latvia_Uni_A,3,1,0.8624944778531306,0.9342372062196912,1,2
S100000,Latvia_Uni_A,4,1,0.9111962063564261,0.9868011003563487,2,1
S100000,Latvia_Uni_A,5,1,0.9234039646761856,1.0,4,1
S100000,Latvia_Uni_A,6,1,0.9832305147336511,1.0,3,2
S100000,Latvia_Uni_A,7,1,0.8568784755759432,0.9480730383851205,1,1
S100000,Latvia_Uni_A,8,1,0.8196321782993116,0.9625269976720686,2,2
S100000,Latvia_Uni_A,9,1,0.9186727126345337,0.9937091443177477,0,0
S100000,Latvia_Uni_A,10,1,0.8056942785003726,0.9494734746896144,0,1
S100000,Latvia_Uni_A,11,1,0.923364843699792,1.0,1,1
S100000,Latvia_Uni_A,12,1,0.7935143959941703,0.8480279757770331,3,3
S100000,Latvia_Uni_A,13,1,0.8831362476991428,0.9473215201836994,2,1
S100000,Latvia_Uni_A,14,1,0.8586309875371918,0.9004649960640501,3,2
S100000,Latvia_Uni_A,15,1,0.915475386569,1.0,2,0
S100000,Latvia_Uni_A,16,1,0.8224172860055488,0.9081879807675065,2,1
S100000,Latvia_Uni_A,17,1,0.8053788668790528,0.8740620261307703,1,1
S100000,Latvia_Uni_A,18,1,0.940048575509649,0.996566811957091,1,1
S100000,Latvia_Uni_A,19,2,0.8708977469322332,0.9767684279181906,2,1
S100000,Latvia_Uni_A,20,2,0.8824075769173771,0.9914776916847234,2,1
S100000,Latvia_Uni_A,21,2,0.8515955648823348,0.9301747051673136,3,1
S100000,Latvia_Uni_A,22,2,0.910893693088625,1.0,1,0
S100000,Latvia_Uni_A,23,2,0.8387705501470744,0.890996616416386,5,2
S100000,Latvia_Uni_A,24,2,0.9572805119891852,1.0,2,0
S100000,Latvia_Uni_A,25,2,1.0,1.0,1,1
S100000,Latvia_Uni_A,26,2,0.8700458853421456,1.0,2,0
S100000,Latvia_Uni_A,27,2,1.0,1.0,1,2
S100000,Latvia_Uni_A,28,2,0.8766153263562217,0.972247621685559,2,0
S100000,Latvia_Uni_A,29,2,0.9749865928487733,1.0,2,3
S100000,Latvia_Uni_A,30,2,0.9604699828024008,1.0,0,0
S100000,Latvia_Uni_A,31,2,0.9621757982092292,1.0,5,0
S100000,Latvia_Uni_A,32,2,0.8978685541435437,0.9753743767257996,1,3
S100000,Latvia_Uni_A,33,2,0.8902287759999555,0.9964927706873322,2,0
S100000,Latvia_Uni_A,34,2,0.8775386476659525,1.0,0,0
S100000,Latvia_Uni_A,35,2,0.9312408188687056,1.0,2,1
S100000,Latvia_Uni_A,36,2,0.9333919285438512,1.0,0,0
S100001,Latvia_College_C,1,1,0.49951948943697255,0.6521908804110874,1,1
S100001,Latvia_College_C,2,1,0.5807630495893875,0.5943538225838839,1,0
